partNr;partName;customerPartNr;projectID;customerPCR;rowGUID;;备注
91G004702;minor;A2045405606;MB;1;BC7CB71A-288A-E211-A584-000C295C2C93;;
91G004802;minor;A2045405706;MB;1;BD7CB71A-288A-E211-A584-000C295C2C93;;
91G004902;minor;A2045401307;MB;1;BE7CB71A-288A-E211-A584-000C295C2C93;;
91G005002;minor;A2045409806;MB;1;BF7CB71A-288A-E211-A584-000C295C2C93;;
91G006801;minor;A2045402410;MB;1;80F5B017-DEF8-E211-B221-000C295C2C93;;
91G006901;minor;A2045402710;MB;1;81F5B017-DEF8-E211-B221-000C295C2C93;;
91G007001;minor;A2045409633;MB;1;82F5B017-DEF8-E211-B221-000C295C2C93;;
91G007302;minor;A2045400510;MB;1;C07CB71A-288A-E211-A584-000C295C2C93;;
91G007601;minor;A2045408809;MB;1;C17CB71A-288A-E211-A584-000C295C2C93;;
91G008301;minor;A2045409535;MB;1;C27CB71A-288A-E211-A584-000C295C2C93;;
91G008401;minor;A2044400305;MB;1;C37CB71A-288A-E211-A584-000C295C2C93;;
91G008601;minor;A2045401906;MB;1;C47CB71A-288A-E211-A584-000C295C2C93;;
91G008602;Minor;A2045401906;MB;1;C57CB71A-288A-E211-A584-000C295C2C93;;
91G008603;minor;A2045401906;MB;1;C67CB71A-288A-E211-A584-000C295C2C93;;
91G008604;Minor;A2045401906;MB;1;C77CB71A-288A-E211-A584-000C295C2C93;;
91G008605;Minor;A2045401906;MB;1;92C0AF20-288A-E211-A584-000C295C2C93;;
91G008606;minor;A2045401906;MB;1;170A255E-7E10-E311-8369-000C295C2C93;;
91G011302;minor;A2044407706;MB;1;C87CB71A-288A-E211-A584-000C295C2C93;;
91G011401;minor;A2045406810;MB;1;C97CB71A-288A-E211-A584-000C295C2C93;;
91G011402;Minor;A2045406810;MB;1;CA7CB71A-288A-E211-A584-000C295C2C93;;
91G011403;minor;A2045406810;MB;1;CB7CB71A-288A-E211-A584-000C295C2C93;;
91G011404;Minor;A2045406810;MB;1;CC7CB71A-288A-E211-A584-000C295C2C93;;
91G011405;Minor;A2045406810;MB;1;93C0AF20-288A-E211-A584-000C295C2C93;;
91G011406;minor;A2045406810;MB;1;180A255E-7E10-E311-8369-000C295C2C93;;
91G012302;minor;A2044408608;MB;1;CD7CB71A-288A-E211-A584-000C295C2C93;;
91G013501;minor;A2045402210;MB;1;CE7CB71A-288A-E211-A584-000C295C2C93;;
91G013601;minor;A2045402610;MB;1;CF7CB71A-288A-E211-A584-000C295C2C93;;
91G013701;minor;A2045401710;MB;1;D07CB71A-288A-E211-A584-000C295C2C93;;
91G013802;minor;A2045400410;MB;1;D17CB71A-288A-E211-A584-000C295C2C93;;
91G013904;MOTOR;A2711505233;MB;1;D27CB71A-288A-E211-A584-000C295C2C93;;
91G014801;MOTOR;A2711508133;MB;1;D37CB71A-288A-E211-A584-000C295C2C93;;
91G014901;MOTOR;A2711501420;MB;1;D47CB71A-288A-E211-A584-000C295C2C93;;
91G015001;minor;A2045405933;MB;1;D57CB71A-288A-E211-A584-000C295C2C93;;
91G015502;MOTOR;A2721500120;MB;1;D67CB71A-288A-E211-A584-000C295C2C93;;
91G019001;minor;A2044405935;MB;1;D77CB71A-288A-E211-A584-000C295C2C93;;
91G019101;minor;A2044406135;MB;1;D87CB71A-288A-E211-A584-000C295C2C93;;
91G019201;minor;A2044405835;MB;1;D97CB71A-288A-E211-A584-000C295C2C93;;
91G020402;minor;A2044408641;MB;1;DA7CB71A-288A-E211-A584-000C295C2C93;;
91G020501;minor;A2044408541;MB;1;DB7CB71A-288A-E211-A584-000C295C2C93;;
91G022001;Motor;A2711502220;MB;1;DC7CB71A-288A-E211-A584-000C295C2C93;;
91G100101;NCV2 minor;A6365401505;MB;1;DD7CB71A-288A-E211-A584-000C295C2C93;;
91G100201;NCV2 minor;A6365401605;MB;1;DE7CB71A-288A-E211-A584-000C295C2C93;;
91G100301;NCV2 minor;A6365401705;MB;1;DF7CB71A-288A-E211-A584-000C295C2C93;;
91G100401;NCV2 minor;A6365401805;MB;1;E07CB71A-288A-E211-A584-000C295C2C93;;
91G100501;NCV2 minor;A6365402005;MB;1;E17CB71A-288A-E211-A584-000C295C2C93;;
91G100601;NCV2 minor;A6365402105;MB;1;E27CB71A-288A-E211-A584-000C295C2C93;;
91G100703;NCV2 minor;A6365402205;MB;1;E37CB71A-288A-E211-A584-000C295C2C93;;
91G100801;NCV2 minor;A6365403805;MB;1;E47CB71A-288A-E211-A584-000C295C2C93;;
91G100901;NCV2 minor;A6365403905;MB;1;E57CB71A-288A-E211-A584-000C295C2C93;;
91G101001;NCV2 minor;A6365404005;MB;1;E67CB71A-288A-E211-A584-000C295C2C93;;
91G101103;NCV2 minor;A6365404105;MB;1;E77CB71A-288A-E211-A584-000C295C2C93;;
91G102901;NCV2 minor;A6365400030;MB;1;E87CB71A-288A-E211-A584-000C295C2C93;;
91G103001;NCV2 minor;A6365400031;MB;1;E97CB71A-288A-E211-A584-000C295C2C93;;
91G103102;NCV2 minor;A6365404006;MB;1;EA7CB71A-288A-E211-A584-000C295C2C93;;
91G104202;NCV2 minor;A6365400041;MB;1;EB7CB71A-288A-E211-A584-000C295C2C93;;
