line;partNr;partName;datahouse entity
3;91G004902;minor;Minor
4;91G005002;minor;Minor
5;91G006801;minor;Minor
6;91G006901;minor;Minor
7;91G007001;minor;Minor
8;91G007302;minor;Minor
9;91G007601;minor;Minor
10;91G008301;minor;Minor
11;91G008401;minor;Minor
16;91G008605;Minor;Minor
18;91G011302;minor;Minor
23;91G011405;Minor;Minor
25;91G012302;minor;Minor
26;91G013501;minor;Minor
27;91G013601;minor;Minor
28;91G013701;minor;Minor
29;91G013802;minor;Minor
32;91G014901;MOTOR;Motor
33;91G015001;minor;Minor
34;91G015502;MOTOR;Motor
35;91G019001;minor;Minor
36;91G019101;minor;Minor
37;91G019201;minor;Minor
38;91G020402;minor;Minor
39;91G020501;minor;Minor
40;91G022001;Motor;Motor
41;91G100101;NCV2 minor;NCV2-Minor
42;91G100201;NCV2 minor;NCV2-Minor
43;91G100301;NCV2 minor;NCV2-Minor
44;91G100401;NCV2 minor;NCV2-Minor
45;91G100501;NCV2 minor;NCV2-Minor
46;91G100601;NCV2 minor;NCV2-Minor
47;91G100703;NCV2 minor;NCV2-Minor
48;91G100801;NCV2 minor;NCV2-Minor
49;91G100901;NCV2 minor;NCV2-Minor
50;91G101001;NCV2 minor;NCV2-Minor
51;91G101103;NCV2 minor;NCV2-Minor
52;91G102901;NCV2 minor;NCV2-Minor
53;91G103001;NCV2 minor;NCV2-Minor
54;91G103102;NCV2 minor;NCV2-Minor
55;91G104202;NCV2 minor;NCV2-Minor
56;91G104301;NCV2 minor;NCV2-COC
57;91G104402;NCV2 minor;NCV2-Minor
58;91G104502;NCV2 minor;NCV2-Minor
59;91G104601;NCV2 minor;NCV2-Minor
60;91G104702;NCV2 COC;NCV2-COC
61;91G104803;NCV2 COC;NCV2-COC
62;91G104903;NCV2 COC;NCV2-COC
63;91G105205;NCV2 INR;NCV2-INR
64;91G105306;NCV2 INR;NCV2-INR
65;91G105407;NCV2 INR;NCV2-INR
66;91G105902;NCV2 MRA;NCV2-MRA
67;91G106002;NCV2 MRA;NCV2-MRA
68;91G106101;NCV2 minor;NCV2-Minor
69;91G106202;NCV2 minor;NCV2-Minor
70;91G106301;NCV2 minor;NCV2-Minor
71;91G106401;NCV2 minor;NCV2-Minor
72;91G106701;NCV2 minor;NCV2-Minor
73;91G106801;NCV2 COC;NCV2-COC
74;91G106901;NCV2 INR;NCV2-INR
75;91G107001;NCV2 INR;NCV2-INR
76;91G107101;NCV2 MRA;NCV2-MRA
77;91G107301;NCV2 minor;NCV2-Minor
78;91G107601;NCV2 MRA;NCV2-MRA
79;91G107701;NCV2 MRA;NCV2-MRA
80;91G107801;NCV2 MRA;NCV2-MRA
81;91G107901;NCV2 COC;NCV2-COC
82;91G108001;NCV2 COC;NCV2-COC
83;91G108101;NCV2 COC;NCV2-COC
84;91G108201;NCV2 COC;NCV2-COC
85;91G108301;NCV2 INR;NCV2-INR
86;91G108401;NCV2 INR;NCV2-INR
87;91G108501;NCV2 INR;NCV2-INR
88;91G108601;NCV2 INR;NCV2-INR
89;91G108701;NCV2 INR;NCV2-INR
90;91G108801;NCV2 INR;NCV2-INR
91;91G108901;NCV2 INR;NCV2-INR
92;91G109001;NCV2 COC;NCV2-COC
93;91G109101;NCV2 COC;NCV2-COC
94;91G109301;NCV2 INR;NCV2-INR
95;91G109401;NCV2 INR;NCV2-INR
101;91G200203;minor;Minor
104;91G200503;minor;Minor
106;91G201103;minor;Minor
109;91G201203;minor;Minor
111;91G201302;minor;Minor
112;91G201701;minor;Minor
113;91G205202;minor;Minor
114;91G205502;minor;Minor
115;91G206901;minor;Minor
116;91G207402;MOTOR;Motor
117;91G208002;minor;Minor
118;91G208102;minor;Minor
124;91G216401;minor;Minor
125;91G216601;minor;Minor
128;91G217501;minor;Minor
130;91G217701;minor;Minor
131;91G217801;minor;Minor
132;91G218202;minor;Minor
143;91G221802;minor;Minor
146;91G224001;Minor;Minor
147;91G224101;Minor;Minor
148;91G224201;Minor;Minor
149;91G224301;Minor;Minor
150;91G224401;Minor;Minor
151;91G224501;Minor;Minor
154;91G224701;Minor;Minor
156;91G225201;Minor;Minor
157;91G225301;Minor;Minor
158;91G225802;Minor;Minor
159;91G225902;Minor;Minor
160;91G226002;Minor;Minor
161;91G226301;Minor;Minor
162;91G226401;Minor;Minor
163;91G226501;Minor;Minor
164;91G226601;A2125400834;Minor
165;91G226901;Minor;Minor
166;91G227703;RBA E260 M271 ELE/AVA AMG;E-RBA
167;91G227804;RBA E300 M272 ELE/AVA AMG;E-RBA
168;91G227904;RBA E300 M272 AVA;E-RBA
169;91G228003;RBA E400 M276 ELE MH LUX;E-RBA
170;91G228201;MOTOR;Motor
171;91G228301;Minor;Minor
172;91G228402;RBA E260 M271 AVA;E-RBA
173;91G228701;RBA E400 M276 AVA AMG LUX;E-RBA
174;91G300404;N3 COC;NCV3-COC
175;91G301105;N3 BODY;NCV3-BODY
176;91G301804;N3 ROOF;NCV3-ROOF
177;91G301903;N3 MINOR;NCV3-Minor
178;91G302003;N3 MINOR;NCV3-Minor
179;91G302103;N3 MINOR;NCV3-Minor
180;91G302203;N3 MINOR;NCV3-Minor
182;91G302303;N3 MINOR;NCV3-Minor
183;91G302502;N3 DOOR;NCV3-Minor
184;91G302702;N3 DOOR;NCV3-Minor
185;91G302903;N3 DOOR;NCV3-Minor
186;91G303103;N3 DOOR;NCV3-Minor
187;91G303203;N3 DOOR;NCV3-Minor
188;91G303403;N3 MINOR;NCV3-Minor
189;91G303503;N3 MINOR;NCV3-Minor
190;91G303603;N3 MINOR;NCV3-Minor
192;91G304302;NCV3 COC;NCV3-COC
