PartNr;EntityNr;ClientPartNr;projectID;
91G004702;Minor;A2045405606;MB;
91G004802;Minor;A2045405706;MB;
91G004902;Minor;A2045401307;MB;
91G005002;Minor;A2045409806;MB;
91G006801;Minor;A2045402410;MB;
91G006901;Minor;A2045402710;MB;
91G007001;Minor;A2045409633;MB;
91G007302;Minor;A2045400510;MB;
91G007601;Minor;A2045408809;MB;
91G008301;Minor;A2045409535;MB;
91G008401;Minor;A2044400305;MB;
91G008601;Minor;A2045401906;MB;
91G008602;Minor;A2045401906;MB;
91G008603;Minor;A2045401906;MB;
91G008604;Minor;A2045401906;MB;
91G008605;Minor;A2045401906;MB;
91G008606;Minor;A2045401906;MB;
91G011302;Minor;A2044407706;MB;
91G011401;Minor;A2045406810;MB;
91G011402;Minor;A2045406810;MB;
91G011403;Minor;A2045406810;MB;
91G011404;Minor;A2045406810;MB;
91G011405;Minor;A2045406810;MB;
91G011406;Minor;A2045406810;MB;
91G012302;Minor;A2044408608;MB;
91G013501;Minor;A2045402210;MB;
91G013601;Minor;A2045402610;MB;
91G013701;Minor;A2045401710;MB;
91G013802;Minor;A2045400410;MB;
91G013904;MOTOR;A2711505233;MB;
91G014801;MOTOR;A2711508133;MB;
91G014901;MOTOR;A2711501420;MB;
91G015001;Minor;A2045405933;MB;
91G015502;MOTOR;A2721500120;MB;
91G019001;Minor;A2044405935;MB;
91G019101;Minor;A2044406135;MB;
91G019201;Minor;A2044405835;MB;
91G020402;Minor;A2044408641;MB;
91G020501;Minor;A2044408541;MB;
91G022001;Motor;A2711502220;MB;
91G100101;NCV2 Minor;A6365401505;MB;
91G100201;NCV2 Minor;A6365401605;MB;
91G100301;NCV2 Minor;A6365401705;MB;
91G100401;NCV2 Minor;A6365401805;MB;
91G100501;NCV2 Minor;A6365402005;MB;
91G100601;NCV2 Minor;A6365402105;MB;
91G100703;NCV2 Minor;A6365402205;MB;
91G100801;NCV2 Minor;A6365403805;MB;
91G100901;NCV2 Minor;A6365403905;MB;
91G101001;NCV2 Minor;A6365404005;MB;
