ParNr;UnitTime
91G0047;0.75
91G0048;0.75
91G0086;
91G0086;
91G0086;
91G0086;
91G0086;
91G0114;
91G0114;
91G0114;
91G0114;
91G0114;
91G0139;
91G0148;
91G1099;
91G1100;
91G1101;
91G1102;
91G2002;
91G2004;6.116249648
91G2005;
91G2011;
91G2011;
91G2012;
91G2012;
91G2139;6.8802149248
91G2140;5.0507762233
91G2141;7.297171156
91G2142;7.911292756
91G2143;6.353200054
91G2173;6.5108022582
91G2174;5.4084326781
91G2176;13.6420160937
91G2190;47.0793686811
91G2190;47.0793686811
91G2203;345.9486431078
91G2204;359.2820844378
91G2205;369.6215128984
91G2212;260.6463522096
91G2213;277.8589125396
91G2214;268.2612406296
91G2215;302.3014533178
91G2218;
91G2218;
91G2219;305.9028418084
91G2246;9.9806131819
91G2246;
91G2247;
91G2321;
91G3022;
91G3043;
91G3046;
91G3047;
91G3047;
91G3048;
91G3048;
91G3063;
91G3068;
91G3068;
91G3070;
91G3070;
91G3071;
91G3072;
91G3075;
91G3076;
91G3081;
91G3082;
91G3093;
91G3097;
91G3099;
91G3101;
91G3102;
91G3103;
91G3104;
91G3105;
91G3109;
91G4056;26.0169170089
91G4057;31.8256358292
91G4060;18.824655636
91G4134;
91G4277;
91G4278;
91G9048;214.2572325396
91G9049;226.8316447226
91G9050;246.1105508418
91G9051;249.3553172116
91G9052;68.9973963514
91G9054;89.5144387151
91G9055;90.5232843151
91G9057;
91G9058;
91G9059;
91G9231;46.4710817667
91G9231;46.4710817667
91G9234;47.4817934152
91G9234;47.4817934152
91G9239;43.6928946667
91G9239;43.6928946667
91G9243;75.4829634758
91G9246;80.2179730444
91G9247;81.0877049048
91G9248;82.4999330795
91G9249;45.7591346519
91G9249;45.7591346519
91G9255;76.6160806636
91G9268;77.9676835844
91G9269;80.6144967844
91G9270;82.8964568195
91G9401;203.3525473284
91G9402;209.1645774056
91G9403;231.7343250684
91G9404;51.76356945
91G9405;61.7949839934
91G9406;60.8426707975
91G9407;64.7778389566
