partNr;partName;unitTime;DOUPDATE
91G004702;minor;1000;1
91G004802;minor;1001;1
91G004902;minor;1002;1
91G005002;minor;1003;1
91G007302;minor;1004;1
91G007601;minor;1005;1
91G008301;minor;1006;1
91G008401;minor;1007;1
91G008601;minor;1008;1
91G008602;Minor;1009;1
91G008603;minor;1010;1
91G008604;Minor;1011;1
91G011302;minor;1012;1
91G011401;minor;1013;1
91G011402;Minor;1014;1
91G011403;minor;1015;1
91G011404;Minor;1016;1
91G012302;minor;1017;1
91G013501;minor;1018;1
91G013601;minor;1019;1
91G013701;minor;1020;1
91G013802;minor;1021;1
91G013904;MOTOR;1022;1
91G014801;MOTOR;1023;1
91G014901;MOTOR;1024;1
91G015001;minor;1025;1
91G015502;MOTOR;1026;1
91G019001;minor;1027;1
91G019101;minor;1028;1
91G019201;minor;1029;1
91G020402;minor;1030;1
91G020501;minor;1031;1
91G022001;Motor;1032;1
91G100101;NCV2 minor;1033;1
91G100201;NCV2 minor;1034;1
91G100301;NCV2 minor;1035;1
91G100401;NCV2 minor;1036;1
91G928802;E-MRA;1037;1
91G928902;E-MRA;1038;1
91G929102;E-MRA;1039;1
91G100501;NCV2 minor;1040;1
91G100601;NCV2 minor;1041;1
91G100703;NCV2 minor;1042;1
91G100801;NCV2 minor;1043;1
91G100901;NCV2 minor;1044;1
91G101001;NCV2 minor;1045;1
91G101103;NCV2 minor;1046;1
91G102901;NCV2 minor;1047;1
91G103001;NCV2 minor;1048;1
91G103102;NCV2 minor;1049;1
91G104202;NCV2 minor;1050;1
91G104301;NCV2 minor;1051;1
91G104402;NCV2 minor;1052;1
91G104502;NCV2 minor;1053;1
91G104601;NCV2 minor;1054;1
91G104702;NCV2 COC;1055;1
91G104803;NCV2 COC;1056;1
91G104903;NCV2 COC;1057;1
91G105205;NCV2 INR;1058;1
91G105306;NCV2 INR;1059;1
91G105407;NCV2 INR;1060;1
91G105902;NCV2 MRA;1061;1
91G106002;NCV2 MRA;1062;1
91G106101;NCV2 minor;1063;1
91G106202;NCV2 minor;1064;1
91G106301;NCV2 minor;1065;1
91G106401;NCV2 minor;1066;1
91G106701;NCV2 minor;1067;1
91G106801;NCV2 COC;1068;1
91G106901;NCV2 INR;1069;1
91G107001;NCV2 INR;1070;1
91G107101;NCV2 MRA;1071;1
91G107301;NCV2 minor;1072;1
91G107601;NCV2 MRA;1073;1
91G107701;NCV2 MRA;1074;1
91G929002;E-MRA;1075;1
91G929501;E-MRA;1076;1
91G929303;E-MRA;1077;1
91G107801;NCV2 MRA;1078;1
91G107901;NCV2 COC;1079;1
91G108001;NCV2 COC;1080;1
